Country,ABV,Continente,HomMed,Forca_de_Trabalho
Nicaragua,NIC,America_do_Norte,3.345957142857143,3046000
Norway,NOR,Europa,0.28314285714285714,2797000
Oman,OMN,Asia,0,2255000
Palestine,PSE,Asia,2.03075,1240000
Panama,PAN,America_do_Norte,15.201657142857142,1633000
Paraguay,PRY,America_do_Sul,5.18525,3428000
Peru,PER,America_do_Sul,0.4888142857142857,17030000
Philippines,PHL,Asia,7.470433333333333,42780000
Poland,POL,Europa,0.041671428571428575,17600000
Portugal,PRT,Europa,0.2853,5233000
Puerto-Rico,PRI,America_do_Norte,21.417285714285715,1139000
Qatar,QAT,Asia,0.0752,1953000
Romania,ROU,Europa,0.0351375,8951000
Russia,RUS,Asia,0.9014,76530000
Sao-Tome-And-Principe,STP,Africa,3.2203333333333335,72600
Saudi-Arabia,SAU,Asia,0.035,13800000
Serbia,SRB,Europa,0.7431428571428571,2920000
Singapore,SGP,Asia,7.142857142857143e-4,3657000
Slovakia,SVK,Europa,0.18293333333333334,2758000
Slovenia,SVN,Europa,0.25871428571428573,959000
South-Africa,ZAF,Africa,11.9525,22190000
South-Korea,KOR,Asia,0.020142857142857143,27750000
Spain,ESP,Europa,0.1273,22750000
St-Kitts-And-Nevis,KNA,America_do_Norte,30.820333333333334,18170
St-Lucia,LCA,America_do_Norte,12.572,79700
Suriname,SUR,America_do_Sul,1.3685666666666667,144000
Sweden,SWE,Europa,0.2340125,5361000
Switzerland,CHE,Europa,0.18586666666666668,5159000
Syria,SYR,Asia,0.616,3767000
Tajikistan,TJK,Asia,0.21270666666666666,2295000
Thailand,THA,Asia,2.587625,38370000
Tonga,TON,Oceania,0.001,33800
Trinidad-And-Tobago,TTO,America_do_Norte,24.7297,629400
Tunisia,TUN,Africa,0.0345,4054000
Turkey,TUR,Europa,0.777,31300000
Turks-And-Caicos,TCA,America_do_Norte,3.117,4848
Uganda,UGA,Africa,1.54006,15840000
Ukraine,UKR,Europa,0.22356,17990000
United-Kingdom,GBR,Europa,0.03181428571428571,33500000
United-States,USA,America_do_Norte,3.8391555555555557,160400000
Uruguay,URY,America_do_Sul,3.5788285714285712,1748000
Uzbekistan,UZB,Asia,0.046,18120000
Venezuela,VEN,America_do_Sul,28.57428,14210000
Virgin-Islands-Uk,VGB,America_do_Norte,4.494714285714285,12770
Virgin-Islands-Us,VIR,America_do_Norte,32.51217142857143,48550
Zambia,ZMB,Africa,0.305,6898000
