Country,ABV,Continente,Gun_100,Renda_per_Capta,PIB_PORCENTO,Inv_per_cap,Distribuicao_Renda,IDH,Media_Estudo_Aanos,Por_Desemp,Forca_de_Trabalho,Desempregados_Jovens_Per,Imposto_perc_PIB,Juros_Per,Inflacao_Per,Export_Dolar,Import_Dolar,Hom_1000
Kyrgyzstan,KGZ,Asia,2.801,3700,6,237.464474357256,33.4,0.6719999999999999,10.9,7.1,2841000,15.5,28.7,18.49,3.2,1840000000,4187000000,0.3412857142857143
Latvia,LVA,Europa,10.501,27700,5.3,1488.4180833548646,34.5,0.8470000000000001,12.8,8.7,990000,17.3,37.5,2.58,2.9,12840000000,15790000000,0.2730571428571429
Liberia,LBR,Africa,2.101,1300,2.8,35.58092614862088,32,0.43500000000000005,4.7,2.8,1677000,3.3,16.9,13.3,12.4,260600000,1166000000,0.445
Lithuania,LTU,Europa,8.28387,32400,4.5,1473.5880776892002,37.9,0.8580000000000001,13,7.1,1467000,14.4,33.7,2.8,3.7,29120000000,31560000000,0.2451875
Luxembourg,LUX,Europa,18.901,105100,4,4101.267160148176,30.4,0.904,12.1,5.8,282800,18.9,44.4,1.9,2.1,15990000000,20660000000,0.08344285714285715
Malaysia,MYS,Asia,0.5212,29100,4.8,1408.3269044686426,46.2,0.802,10.2,3.4,14940000,10.5,16.4,4.61,3.8,187900000000,160700000000,0.04123333333333334
Maldives,MDV,Asia,6.201,19200,4.3,756.0851319708617,38.4,0.717,6.3,2.9,222200,12.4,26.4,10.5,2.3,256200000,2125000000,0
Malta,MLT,Europa,28.301,41900,7.2,3088.167502889479,28.1,0.8780000000000001,11.3,4.6,206300,11,40.4,3.7,1.3,3272000000,4996000000,0.3361657142857143
Mauritius,MUS,Africa,8.301,22300,5.1,1056.7968669257039,35.9,0.7899999999999999,9.3,7.1,633900,23.9,22.5,8.5,3.7,2360000000,4986000000,0.098
Mexico,MEX,America_do_Norte,9.532632,19900,5.3,1036.3593514265194,48.2,0.774,8.6,3.4,54510000,6.9,22.7,7.34,6,409800000000,420800000000,11.3781
Moldova,MDA,Europa,3,6700,6.7,462.2947767706503,26.8,0.7,11.6,4.1,1295000,11.2,30.2,10.36,6.6,1858000000,4427000000,0.29512499999999997
Mongolia,MNG,Asia,7.901,13000,5.2,665.7025714790226,34,0.741,10.1,8,1241000,20.8,26.6,20.01,4.6,5834000000,4345000000,0.251525
Morocco,MAR,Africa,4.801,8600,5.3,461.2035916399454,40.9,0.6669999999999999,5.5,10.2,12000000,19.9,20.9,5.6,0.8,21480000000,39640000000,0.029333333333333333
Namibia,NAM,Africa,15.401,11200,8.3,871.5376137285925,59.7,0.647,6.8,34,956800,44.9,32.2,10.04,6.1,3995000000,5384000000,2.48375
Netherlands,NLD,Europa,2.601,53900,5.5,2964.335848138687,30.3,0.931,12.2,4.9,7969000,10.8,43.4,1.33,1.3,839700000,453800000000,0.22265
New-Zealand,NZL,Oceania,29.7,39000,6.3,2619.440618422937,36.2,0.917,12.5,4.7,2655000,12.7,36.8,5.1,1.9,37350000000,39740000000,0.16821428571428573
Nicaragua,NIC,America_do_Norte,6.5120000000000005,5900,4.5,269.17710193546225,47.1,0.658,6.7,6.4,3046000,8.5,28,10.8,3.9,38190000000,6613000000,3.345957142857143
Norway,NOR,Europa,28.04887,72100,7.7,5463.767017963434,26.8,0.9530000000000001,12.6,4.2,2797000,10.4,54.4,2.89,1.9,102800000000,95060000000,0.28314285714285714
