Country,Railways
Iran,"total:
          8,484 km
          
          (2014)
        
        
          standard gauge:
          8,389.5 km
          1.435-m gauge (189.5 km electrified)
          (2014)
        
        
          broad gauge:
          94 km
          1.676-m gauge
          (2014)"
Iraq,"total:
          2,272 km
          
          (2014)
        
        
          standard gauge:
          2,272 km
          1.435-m gauge
          (2014)"
Ireland,"total:
          3,237 km
          
          (2014)
        
        
          narrow gauge:
          1,365 km
          0.914-m gauge (operated by the Irish Peat Board to transport peat to power stations and briquetting plants)
          (2014)
        
        
          broad gauge:
          1,872 km
          1.600-m gauge (49 km electrified)
          (2014)"
Isle of Man,"total:
          63 km
          
          (2008)
        
        
          narrow gauge:
          6 km
          1.076-m gauge (6 km electrified)
          (2008)
        

  

    
      57 0.914-m gauge (29 km electrified)
note: primarily summer tourist attractions"
Israel,"total:
          1,250 km
          
          (2014)
        
        
          standard gauge:
          1,250 km
          1.435-m gauge
          (2014)"
Italy,"total:
          20,182 km
          
          (2014)
        
        
          standard gauge:
          18,770.1 km
          1.435-m gauge (12,893.6 km electrified)
          (2014)
        
        
          narrow gauge:
          122.3 km
          1.000-m gauge (122.3 km electrified)
          (2014)
        

  

    
      1289.3 0.950-m gauge (151.3 km electrified)"
Japan,"total:
          27,311 km
          
          (2015)
        
        
          standard gauge:
          4,800 km
          1.435-m gauge (4,800 km electrified)
          (2015)
        
        
          narrow gauge:
          124 km
          1.372-m gauge (124 km electrified)
          (2015)
        
        
          dual gauge:
          132 km
          1.435-1.067-m gauge (132 km electrified)
          (2015)
        

  

    
      22207 1.067-m gauge (15,430 km electrified)
48 0.762-m gauge (48 km electrified)"
Jordan,"total:
          509 km
          
          (2014)
        
        
          narrow gauge:
          509 km
          1.050-m gauge
          (2014)"
Kazakhstan,"total:
          16,104 km
          
          (2016)
        
        
          broad gauge:
          16,104 km
          1.520-m gauge (4,200 km electrified)
          (2016)"
Kenya,"total:
          3,806 km
          
          (2014)
        
        
          standard gauge:
          472 km
          1.435-m gauge
          (2014)
        
        
          narrow gauge:
          3,334 km
          1.000-m gauge
          (2014)"
"Korea, North","total:
          7,435 km
          
          (2014)
        
        
          standard gauge:
          7,435 km
          1.435-m gauge (5,400 km electrified)
          (2014)
        

  

    
      note: figures are approximate; some narrow-gauge railway also exists"
"Korea, South","total:
          3,979 km
          
          (2016)
        
        
          standard gauge:
          3,979 km
          1.435-m gauge (2,727 km electrified)
          (2016)"
Kosovo,"total:
          333 km
          
          (2015)
        
        
          standard gauge:
          333 km
          1.435-m gauge
          (2015)"
Kyrgyzstan,"total:
          424 km
          
          (2018)
        
        
          broad gauge:
          424 km
          1.520-m gauge
          (2018)"
Latvia,"total:
          2,239 km
          
          (2008)
        
        
          narrow gauge:
          33 km
          0.750-m gauge
          (2008)
        
        
          broad gauge:
          2,206 km
          1.520-m gauge
          (2008)"
Lebanon,"total:
          401 km
          
          (2017)
        
        
          standard gauge:
          319 km
          1.435-m gauge
          (2017)
        
        
          narrow gauge:
          82 km
          1.050-m gauge
          (2017)
        

  

    
      note: rail system is still unusable due to damage sustained from fighting in the 1980s and in 2006"
Liberia,"total:
          429 km
          
          (2008)
        
        
          standard gauge:
          345 km
          1.435-m gauge
          (2008)
        
        
          narrow gauge:
          84 km
          1.067-m gauge
          (2008)
        

  

    
      note: most sections of the railways inoperable due to damage sustained during the civil wars from 1980 to 2003, but many are being rebuilt"
Liechtenstein,"total:
          9 km
          
          (2008)
        
        
          standard gauge:
          9 km
          1.435-m gauge (electrified)
          (2008)
        

  

    
      note: belongs to the Austrian Railway System connecting Austria and Switzerland"
Lithuania,"total:
          1,768 km
          
          (2014)
        
        
          standard gauge:
          22 km
          1.435-m gauge
          (2014)
        
        
          broad gauge:
          1,746 km
          1.520-m gauge (122 km electrified)
          (2014)"
Luxembourg,"total:
          275 km
          
          (2014)
        
        
          standard gauge:
          275 km
          1.435-m gauge (275 km electrified)
          (2014)"
Macedonia,"total:
          925 km
          
          (2017)
        
        
          standard gauge:
          925 km
          1.435-m gauge (313 km electrified)
          (2017)"
Madagascar,"total:
          836 km
          
          (2018)
        
        
          narrow gauge:
          836 km
          1.000-m gauge
          (2018)"
Malawi,"total:
          767 km
          
          (2014)
        
        
          narrow gauge:
          767 km
          1.067-m gauge
          (2014)"
Malaysia,"total:
          1,851 km
          
          (2014)
        
        
          standard gauge:
          59 km
          1.435-m gauge (59 km electrified)
          (2014)
        
        
          narrow gauge:
          1,792 km
          1.000-m gauge (339 km electrified)
          (2014)"
Mali,"total:
          593 km
          
          (2014)
        
        
          narrow gauge:
          593 km
          1.000-m gauge
          (2014)"
