Country,ABV,Continente,HomMed,Export_Dolar
Turkey,TUR,Europa,0.777,166200000000
Turks-And-Caicos,TCA,America_do_Norte,3.117,24770000
Uganda,UGA,Africa,1.54006,3339000000
Ukraine,UKR,Europa,0.22356,39690000000
United-Kingdom,GBR,Europa,0.03181428571428571,441200000000
United-States,USA,America_do_Norte,3.8391555555555557,1553000000000
Uruguay,URY,America_do_Sul,3.5788285714285712,11410000000
Uzbekistan,UZB,Asia,0.046,11480000000
Venezuela,VEN,America_do_Sul,28.57428,32060000000
Virgin-Islands-Uk,VGB,America_do_Norte,4.494714285714285,23000000
Virgin-Islands-Us,VIR,America_do_Norte,32.51217142857143,1810000000
Zambia,ZMB,Africa,0.305,8216000000
