Country,Year,Gun_per_100_Value
moldova,2017,3
moldova,2007,7.12
monaco,2017,19.601
mongolia,2017,7.901
mongolia,2007,1.92
montenegro,2017,39.101
montenegro,2007,23.12
montserrat,2017,5.401
morocco,2017,4.801
morocco,2007,5.02
mozambique,2017,4.501
mozambique,2007,5.12
myanmar,2017,1.61
myanmar,2007,4.02
namibia,2017,15.401
namibia,2007,12.62
nauru,2017,0
nepal,2017,1.501
nepal,2013,1.724
netherlands,2017,2.601
netherlands,2007,3.92
netherlands-antilles,NA,NA
new-caledonia,2017,42.501
new-caledonia,2014,37.884
new-caledonia,2013,58.593
new-zealand,2018,29.7
nicaragua,2017,5.201
nicaragua,2012,7.823
niger,2017,0.501
niger,2007,0.72
nigeria,2017,3.201
nigeria,2007,1.52
niue,2002,19.851
north-korea,2007,0.62
northern-mariana-islands,2017,2.601
northern-mariana-islands,2002,2.552
norway,2017,28.801
norway,2011,27.29674
norway,2005,31.35
oman,2017,16.701
oman,2007,25.42
pakistan,2017,22.301
pakistan,2007,11.62
palau,2017,0.501
palestine,2017,1.101
palestine,2007,3.42
panama,2017,10.801
panama,2012,12.923
papua-new-guinea,2017,1
papua-new-guinea,2007,1.22
paraguay,2017,16.701
paraguay,2012,15.424
peru,2017,2
peru,2012,2.524
philippines,2019,3.09
pitcairn,NA,NA
poland,2017,2.501
poland,2014,1.49674
poland,2005,1.35
portugal,2017,21.301
portugal,2010,24.223
puerto-rico,2017,11.501
puerto-rico,2012,20.02
qatar,2017,16.701
qatar,2007,19.22
reunion,2017,19.601
romania,2017,2.601
romania,2007,0.72
russia,2017,12.301
russia,2007,8.92
rwanda,2017,0.501
rwanda,2007,0.62
samoa,2017,10.101
samoa,2002,8.23
san-marino,2017,14.401
sao-tome-and-principe,2017,3.401
saudi-arabia,2017,16.701
saudi-arabia,2007,35.02
senegal,2017,2
senegal,2007,2.01
serbia,2017,39.101
serbia,2007,37.8224
seychelles,2017,4.101
seychelles,2007,5.42
sierra-leone,2017,0.501
sierra-leone,2007,0.62
singapore,2017,0.31
singapore,2007,0.52
slovakia,2017,6.501
slovakia,2007,8.32
slovenia,2017,15.601
slovenia,2007,13.52
solomon-islands,2017,0.201
solomon-islands,2002,0.002
somalia,2017,12.401
somalia,2007,9.13
south-africa,2017,9.701
south-africa,2013,6.6165
south-korea,2017,0.201
south-korea,2007,1.12
south-sudan,2017,9.601
south-sudan,2013,28.233
spain,2017,7.501
spain,2007,10.42
sri-lanka,2017,2.401
sri-lanka,2007,1.52
st-helena,NA,NA
st-kitts-and-nevis,2017,3.401
st-lucia,2017,3.401
st-pierre-and-miquelon,NA,NA
st-vincent-and-grenadines,NA,NA
sudan,2017,6.601
sudan,2007,5.52
suriname,2017,15.901
suriname,2012,14.324
swaziland,2017,4.801
swaziland,2007,6.42
sweden,2017,23.101
sweden,2011,20.83674
sweden,2005,31.65
switzerland,2016,34.795
syria,2017,8.201
syria,2007,3.92
taiwan,2017,0
taiwan,2007,4.42
tajikistan,2017,0.401
tajikistan,2007,1.02
tanzania,2017,0.801
tanzania,2007,1.42
thailand,2017,15.11
thailand,2007,15.62
timor-leste,2017,0.31
timor-leste,2007,0.32
togo,2017,0.801
togo,2007,1.02
tokelau,NA,NA
tonga,2017,8
tonga,2002,0.792
trinidad-and-tobago,2017,3.201
trinidad-and-tobago,2012,2.223
tunisia,2017,1.101
tunisia,2007,0.12
turkey,2017,16.501
turkey,2007,12.52
turkmenistan,2017,0.401
turkmenistan,2007,3.82
turks-and-caicos,2017,3.301
tuvalu,2017,1.201
tuvalu,2002,0.122
uganda,2017,0.801
uganda,2007,1.42
ukraine,2017,9.901
ukraine,2007,6.62
united-arab-emirates,2017,16.701
united-arab-emirates,2007,22.12
uruguay,2017,34.701
uruguay,2012,32.625
uzbekistan,2017,0.401
uzbekistan,2007,1.52
vanuatu,2017,3.901
vanuatu,2002,2.272
vatican,NA,NA
venezuela,2017,18.501
venezuela,2012,11.226
vietnam,2017,1.61
vietnam,2007,1.72
virgin-islands-uk,2017,0.801
virgin-islands-us,2017,16.601
wallis-and-futuna,NA,NA
western-sahara,NA,NA
yemen,2017,52.801
yemen,2007,54.84
zambia,2017,0.901
zambia,2007,8.92
zimbabwe,2017,2.801
zimbabwe,2007,3.445
