Country,ABV,Continente,HomMed,Inflacao_Per
Suriname,SUR,America_do_Sul,1.3685666666666667,22
Sweden,SWE,Europa,0.2340125,1.9
Switzerland,CHE,Europa,0.18586666666666668,0.5
Syria,SYR,Asia,0.616,28.1
Tajikistan,TJK,Asia,0.21270666666666666,7.3
Thailand,THA,Asia,2.587625,0.7
Tonga,TON,Oceania,0.001,7.4
Trinidad-And-Tobago,TTO,America_do_Norte,24.7297,1.9
Tunisia,TUN,Africa,0.0345,5.3
Turkey,TUR,Europa,0.777,11.1
Turks-And-Caicos,TCA,America_do_Norte,3.117,4
Uganda,UGA,Africa,1.54006,5.6
Ukraine,UKR,Europa,0.22356,14.4
United-Kingdom,GBR,Europa,0.03181428571428571,2.7
United-States,USA,America_do_Norte,3.8391555555555557,2.1
Uruguay,URY,America_do_Sul,3.5788285714285712,6.2
Uzbekistan,UZB,Asia,0.046,12.5
Venezuela,VEN,America_do_Sul,28.57428,1087.5
Virgin-Islands-Uk,VGB,America_do_Norte,4.494714285714285,1.1
Virgin-Islands-Us,VIR,America_do_Norte,32.51217142857143,1
Zambia,ZMB,Africa,0.305,6.6
