Country,ABV,Continente,HomMed,PIB_PORCENTO
Montserrat,MSR,America_do_Norte,36.42857142857143,5.1
Morocco,MAR,Africa,0.029333333333333333,5.3
Namibia,NAM,Africa,2.48375,8.3
Netherlands,NLD,Europa,0.22265,5.5
New-Zealand,NZL,Oceania,0.16821428571428573,6.3
Nicaragua,NIC,America_do_Norte,3.345957142857143,4.5
Norway,NOR,Europa,0.28314285714285714,7.7
Oman,OMN,Asia,0,6.2
Palestine,PSE,Asia,2.03075,5.7
Panama,PAN,America_do_Norte,15.201657142857142,3.2
Paraguay,PRY,America_do_Sul,5.18525,5
Peru,PER,America_do_Sul,0.4888142857142857,3.8
Philippines,PHL,Asia,7.470433333333333,2.7
Poland,POL,Europa,0.041671428571428575,4.9
Portugal,PRT,Europa,0.2853,5.1
Puerto-Rico,PRI,America_do_Norte,21.417285714285715,6
Qatar,QAT,Asia,0.0752,3.6
Romania,ROU,Europa,0.0351375,3.1
Russia,RUS,Asia,0.9014,3.8
Sao-Tome-And-Principe,STP,Africa,3.2203333333333335,3.7
Saudi-Arabia,SAU,Asia,0.035,5.1
Serbia,SRB,Europa,0.7431428571428571,4
Singapore,SGP,Asia,7.142857142857143e-4,2.9
Slovakia,SVK,Europa,0.18293333333333334,4.6
Slovenia,SVN,Europa,0.25871428571428573,5.3
South-Africa,ZAF,Africa,11.9525,5.9
South-Korea,KOR,Asia,0.020142857142857143,5.1
South-Sudan,SSD,Africa,1.993,1.8
Spain,ESP,Europa,0.1273,4.3
St-Kitts-And-Nevis,KNA,America_do_Norte,30.820333333333334,2.8
St-Lucia,LCA,America_do_Norte,12.572,5.7
Sweden,SWE,Europa,0.2340125,7.7
Switzerland,CHE,Europa,0.18586666666666668,5.1
Syria,SYR,Asia,0.616,5.1
Tajikistan,TJK,Asia,0.21270666666666666,5.2
Thailand,THA,Asia,2.587625,4.1
Tunisia,TUN,Africa,0.0345,6.6
Turkey,TUR,Europa,0.777,4.4
Turks-And-Caicos,TCA,America_do_Norte,3.117,3.3
Uganda,UGA,Africa,1.54006,2.3
Ukraine,UKR,Europa,0.22356,5.9
United-Kingdom,GBR,Europa,0.03181428571428571,5.6
United-States,USA,America_do_Norte,3.8391555555555557,5
Uruguay,URY,America_do_Sul,3.5788285714285712,4.4
Venezuela,VEN,America_do_Sul,28.57428,6.9
Virgin-Islands-Uk,VGB,America_do_Norte,4.494714285714285,6.3
Zambia,ZMB,Africa,0.305,1.1
