Country,GunMed,GunDes,GunQTD,HomMed,HomDes,HomQTD,ABV,Continente,rankGun,rankHom
uganda,0.801,NaN,1,1.54006,0.5161030974524373,2,UGA,Africa,8.5,84
ukraine,9.901,NaN,1,0.22356,0.030490444404763922,2,UKR,Europa,72.5,41
united-kingdom,5.033,NaN,1,0.03181428571428571,0.01176328023574895,7,GBR,Europa,40,13
united-states,120.503,NaN,1,3.8391555555555557,0.39087647380953705,9,USA,America_do_Norte,130,103
uruguay,33.663,1.467953677743273,2,3.5788285714285712,0.8901589403289837,7,URY,America_do_Sul,125,102
uzbekistan,0.401,NaN,1,0.046,0.023664319132398463,6,UZB,Asia,4.5,20
venezuela,14.863500000000002,5.144201833132134,2,28.57428,1.8255039282346124,5,VEN,America_do_Sul,91,124
virgin-islands-uk,0.801,NaN,1,4.494714285714285,2.9569267105270924,7,VGB,America_do_Norte,8.5,105
virgin-islands-us,16.601,NaN,1,32.51217142857143,11.65598905022854,7,VIR,America_do_Norte,99,127
zambia,0.901,NaN,1,0.305,0.14849242404917495,2,ZMB,Africa,10,57
